数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
公共信用信息查询服务, 信用服务, 公共信用信息，查询服务, 综合类, 其他类, 2016-04-26, 上海市经济和信息化委员会, 世博村路300号5号楼
车辆环保标志作废声明, 资源环境, 车辆、环保标志, 环境保护、治理, 2016-01-25, 上海市环境保护局, 三江路55号
高级专业技术职务任职资格评审通过人员公示信息, 社会发展, 高级、任职、评审、通过, 工资职称, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
政府补贴培训清单信息, 社会发展, 政府补贴、培训、项目、等级、培训机构, 劳动人事综合类, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
事业单位招录信息, 社会发展, 事业单位、招聘、聘用、公示, 人事工作, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
职业培训机构信息, 社会发展, 职业培训机构信息、名称、地址、区县、联系电话、培训项目, 劳动人事综合类, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号1号楼
中高级专业技术职务任职资格评审信息, 社会发展, 专业技术、资格、评审, 工资职称, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
非碘盐供应点, 民生服务, 非碘盐供应点, 综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
规范性文件审查意见书, 社会发展, 审查意见书, 综合类, 政策法规, 2015-10-20, 上海市人民政府法制办公室, 人民大道200号715
行政复议决定书, 社会发展, 行政复议, 综合类, 业务类, 2015-10-20, 上海市人民政府法制办公室, 人民大道200号1420
本市会计从业资格持证人员基础信息, 教育科技, 会计、基础信息, 会计, 业务类, 2015-10-12, 上海市财政局, 上海市肇嘉浜路800号
供水水量统计信息, 资源环境, 供水、水量, 水利, 业务类, 2015-01-21, 上海市水务局, 上海市江苏路389号
出版专业技术人员责任编辑注册, 教育科技, 出版责任编辑, 新闻出版, 业务类, 2015-01-06, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
报纸基本信息, 文化休闲, 报纸, 新闻出版, 业务类, 2015-01-06, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
期刊基本信息, 文化休闲, 期刊, 新闻出版, 业务类, 2015-01-06, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
连续性内部资料信息, 文化休闲, 内部资料, 新闻出版, 业务类, 2015-01-06, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
新闻记者信息, 文化休闲, 新闻记者, 新闻出版, 业务类, 2015-01-06, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
