数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
上海中心城区每月供水水质, 资源环境, 水质, 水利, 业务类, 2015-10-30, 上海市水务局, 江苏路389号
上海中心城区每月供水水量, 资源环境, 供水水量, 水利, 业务类, 2015-01-05, 上海市水务局, 上海市江苏路389号
上海外商第三产业合同投资情况, 经济建设, 外商、第三产业、合同投资, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海市外商实际投资情况, 经济建设, 外商、投资, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海市外商合同投资情况, 经济建设, 外商、合同投资, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海社会消费品零售情况, 经济建设, 社会消费品、零售, 国内贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海市货物贸易出口情况, 经济建设, 贸易、出口, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
上海市货物贸易进口情况, 经济建设, 贸易、进口, 对外贸易, 业务类, 2015-01-05, 上海市商务委员会, 世博村路300号
建设用地批准文件调整、撤销审批, 资源环境, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
招标、拍卖、挂牌用地审批, 城市建设, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
土地储备审批, 城市建设, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
土地租赁用地审批, 城市建设, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
协议出让土地用地审批, 城市建设, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
单独选址项目信息（市批）, 城市建设, 土地资源、国土, 土地, 业务类, 2016-06-17, 上海市规划和国土资源管理局, 北京西路99号
市规划和国土资源管理局公告类信息, 城市建设, 公告类信息, 综合类, 其他类, 2016-06-14, 上海市规划和国土资源管理局, 北京西路99号
市规划和国土资源管理局新闻类信息, 城市建设, 新闻类信息, 综合类, 其他类, 2016-06-14, 上海市规划和国土资源管理局, 北京西路99号
市规划和国土资源管理局规范性文件, 城市建设, 政策法规, 综合类, 政策法规, 2016-06-14, 上海市规划和国土资源管理局, 北京西路99号
地下水位观测井, 资源环境, 地下水位观测井, 国土资源与能源综合类, 业务类, 2016-06-14, 上海市规划和国土资源管理局, 北京西路99号
赛事信息, 文化休闲, 赛事信息, 体育, 业务类, 2015-01-21, 上海市体育局, 上海市泳耀路300号9楼
上海市进口废塑料加工利用企业环保核查合格名单, 资源环境, 进口废塑料加工利用企业，环保核查, 环境保护、治理, 业务类, 2016-06-12, 上海市环境保护局, 三江路55号
上海市生猪养殖情况一览表, 经济建设, 上海、生猪、养殖, 畜牧业, 业务类, 2015-10-23, 上海市农业委员会, 上海市畜牧办
环境状况公报, 资源环境, 环境状况，公报, 城乡建设与环境保护综合类, 规划计划, 2016-06-12, 上海市环境保护局, 三江路55号
危险废物专业运输名录, 资源环境, 危险废物、运输, 环境保护、治理, 业务类, 2015-03-17, 上海市环境保护局, 三江路55号
危险废物经营许可证名单, 资源环境, 危险废物经营许可证, 环境保护、治理, 业务类, 2015-03-17, 上海市环境保护局, 三江路55号
上市公司环保核查, 资源环境, 上市公司，环保核查, 环境保护、治理, 业务类, 2016-01-25, 上海市环境保护局, 三江路55号
建设项目环境影响评价单位, 资源环境, 建设项目，环境影响评价单位, 环境保护、治理, 业务类, 2015-03-17, 上海市环境保护局, 三江路55号
地表水水质状况, 资源环境, 地表水，水质评价, 环境污染、监测, 业务类, 2015-07-23, 上海市环境保护局, 三江路55号
全市纳税信用等级统计, 信用服务, 纳税人识别码，纳税人名称，信用等级, 税务, 业务类, 2015-11-02, 上海市地方税务局, 肇嘉浜路800号
信用服务机构备案信息, 信用服务, 备案编号、单位名称、联系人、联系方式、传真、经营范围、主营业务、地址、邮编, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
上海市技术进出口交易会亮点企业情况, 经济建设, 技术进出口、亮点企业, 综合类, 其他类, 2015-01-05, 上海市商务委员会, 世博村路300号
单用途商业预付卡备案企业信息, 经济建设, 单用途商业预付卡, 国内贸易, 业务类, 2015-10-28, 上海市商务委员会, 世博村路300号
再生资源回收经营企业信息, 资源环境, 再生资源、经营企业, 国内贸易, 业务类, 2015-10-28, 上海市商务委员会, 世博村路300号
电力供需平衡预测, 资源环境, 日期、星期、天气、气温、预计最高负荷、最高可用出力、电力供需平衡, 电力, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
新闻出版驻沪机构, 文化休闲, 驻沪机构, 新闻出版, 业务类, 2016-04-18, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
加油站, 民生服务, 名称、地址、电话、服务内容, 企业, 业务类, 2014-11-06, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
法人网上身份统一认证网点, 机构团体, 网点地址、服务时间、联系电话, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
工业园区, 经济建设, 园区名称、地址、类型、网址、联系电话, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
部分重化行业企业名单, 经济建设, 企业名称、地址、企业性质、主要产品, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
企业技术中心认定, 经济建设, 认定总数、领域分布数量、区域分布数量, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
成品油批发和仓储企业, 经济建设, 企业名称、地址、邮编、企业性质、成品油批发仓储经营许可证编号, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
建筑从业人员行政处罚信息, 信用服务, 人员行政处罚, 城乡建设, 机构职能, 2015-11-03, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
建筑从业单位行政处罚信息, 信用服务, 行政处罚信息, 城乡建设, 机构职能, 2015-11-03, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
工商行政处罚信息, 信用服务, 工商，行政处罚, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
企业监管信息, 信用服务, 监管, 检验、检疫, 业务类, 2015-01-14, 上海市质量技术监督局, 宜山路728号
产品质量监督抽查信息, 信用服务, 产品质量、监督抽查, 检验、检疫, 业务类, 2015-01-14, 上海市质量技术监督局, 宜山路728号
食品餐饮企业监督公示信息, 信用服务, 食品、食品餐饮、企业监督公示, 医药卫生管理, 业务类, 2015-01-23, 上海市食品药品监督管理局, 河南南路288号
质监行政处罚信息, 信用服务, 行政处罚, 综合类, 业务类, 2015-10-16, 上海市质量技术监督局, 上海市徐汇区宜山路728号
流通领域商品监测信息, 信用服务, 工商，流通领域商品，监测, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
卫生监督检查信息, 信用服务, 卫生监督检查, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
上海市各区县统计局联系方式, 机构团体, 区县统计局联系方式, 综合政务类, 其他类, 2016-04-13, 上海市统计局, 威海路48号
国家统计局上海调查总队各区县调查队联系方式, 机构团体, 各区、县调查队联系方式, 综合政务类, 其他类, 2016-04-13, 上海市统计局, 威海路48号
重点中央在沪企业, 经济建设, 企业名称、地址、联系电话, 企业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
上海市企事业专利工作试点示范单位名录, 教育科技, 上海市，企事业专利工作试点示范单位，名录, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
上海市&ldquo;销售真牌真品，保护知识产权&rdquo;承诺单位名单, 民生服务, 销售真牌真品，保护知识产权，承诺单位名单, 知识产权, 机构职能, 2014-12-10, 上海市知识产权局, 上海市世博村路300号1号楼
上海市专利统计信息, 教育科技, 专利、统计、申请、授权, 综合类, 业务类, 2016-02-05, 上海市知识产权局, 世博村路300号1号楼
专利工作者培训人数, 教育科技, 专利工作者，培训人数, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
专利工程师人数, 教育科技, 专利工程师，人数, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
上海市专利代理机构名录, 教育科技, 上海市，专利代理机构，名录, 知识产权, 机构职能, 2014-12-11, 上海市知识产权局, 上海市世博村路300号1号楼
