数据条目, 资源分类, 关键字, 国家分类, 提供单位
机动车驾驶证记分信息, 道路交通, 机动车、驾驶证记分, 政法、监察, 上海市公安局
电子警察违法未处理情况信息, 道路交通, 电子警察、违法未处理, 政法、监察, 上海市公安局
水利工程项目基本信息, 城市建设, 项目名称、项目类型、建设单位名字, 农业、水利, 上海市水务局
赃物、失物招领信息, 民生服务, 赃物失物招领, 政法、监察, 上海市公安局
市发改委行政审批事项办理状态查询, 经济建设, 行政审批事项, 综合政务, 上海市发展和改革委员会
市环保局行政审批事项办理状态信息, 资源环境, 行政审批、办理状态, 城乡建设、环境保护, 上海市环境保护局
堤防类基础数据, 城市建设, 岸段名称、岸段结构、里程桩基本资料, 农业、水利, 上海市水务局
水情信息, 资源环境, 水位，雨量, 气象、水文、测绘、地震, 上海市水务局
水闸水位数据, 资源环境, 水闸名称、内河水位, 农业、水利, 上海市水务局
上海市绿化和市容管理局行政审批办理状态信息, 城市建设, 行政审批, 城乡建设、环境保护, 上海市绿化和市容管理局
失踪人员信息（治安）, 公共安全, 失踪人员, 政法、监察, 上海市公安局
上海市高新技术成果转化项目认定结果, 教育科技, 科技高新技术成果转化项目, 科技、教育, 上海市科学技术委员会
辐射安全许可信息, 资源环境, 辐射、许可信息, 城乡建设、环境保护, 上海市环境保护局
工业类投资项目备案数据, 经济建设, 工业、项目、备案, 工业、交通, 上海市经济和信息化委员会
本市汽、柴油最高零售价格, 经济建设, 油价, 经济管理, 上海市发展和改革委员会
危险废物综合经营许可信息, 资源环境, 危险废物、许可信息, 城乡建设、环境保护, 上海市环境保护局
市公安局行政审批事项办理状态信息, 公共安全, 行政审批、办理状态, 政法、监察, 上海市公安局
机动车报废信息, 道路交通, 机动车报废, 政法、监察, 上海市公安局
排水系统信息服务接口, 城市建设, 排水系统名称，排水模式，排水系统类型, 农业、水利, 上海市水务局
水务海洋行政审批电子档案, 资源环境, 受理号、申请人、事项名称、项目名称、归档时间, 农业、水利, 上海市水务局
排水泵站服务接口, 城市建设, 泵站名称、泵站大类、泵站小类、泵站地址, 农业、水利, 上海市水务局
结婚登记预约机构接口文档, 民生服务, 结婚登记预约机构接口文档, 民政、社区, 上海市民政局
专项资金政务大厅数据推送, 经济建设, 专项资金，政务大厅, 综合政务, 上海市经济和信息化委员会
未年检车辆信息, 道路交通, 未年检车辆, 政法、监察, 上海市公安局
工业类投资项目备案变更数据, 经济建设, 工业、项目、备案变更, 工业、交通, 上海市经济和信息化委员会
市新闻出版局行政审批事项办理状态信息, 文化休闲, 行政审批, 文化、卫生、体育, 上海市新闻出版局
排水管道服务接口, 城市建设, 所在道路名称、管道等级、管道类型, 农业、水利, 上海市水务局
经营异常企业信息, 经济建设, 工商，经营异常企业, 经济管理, 上海市工商行政管理局
水务行政审批GIS信息, 资源环境, 受理号、行业类别、事项名称、项目名称、项目地址、申请人、, 农业、水利, 上海市水务局
水务行政审批信息, 资源环境, 受理号、行业类别、事项名称、申请人、项目名称、项目地址等, 农业、水利, 上海市水务局
资产评估分支机构设立审批办理状态信息, 经济建设, 办理状态, 财政, 上海市财政局
堤防部件数据, 城市建设, 城建坐标, 农业、水利, 上海市水务局
机动车驾驶证换证提醒告知信息, 公共安全, 驾驶证、换证提醒, 政法、监察, 上海市公安局
公司制资产评估机构设立审批办理状态信息, 经济建设, 办理状态, 财政, 上海市财政局
排水井服务接口, 城市建设, 井的等级、井的类型、井的分类, 农业、水利, 上海市水务局
合伙制资产评估机构设立审批办理状态信息, 经济建设, 办理状态, 财政, 上海市财政局
热线执法举报信息, 城市建设, 局转编号、处理状态, 政法、监察, 上海市水务局
社会机动车安检机构, 道路交通, 社会机动车安检机构, 工业、交通, 上海市质量技术监督局
调蓄池服务接口, 资源环境, 调蓄池名称、调蓄池地址、调蓄池规格、调蓄池尺寸直径、调蓄池尺寸宽, 农业、水利, 上海市水务局
排水工程建设信息服务接口, 城市建设, 排水工程，工程名称，工程地址, 农业、水利, 上海市水务局
海塘部件数据, 城市建设, 海塘里程桩代码、海塘城建坐标, 农业、水利, 上海市水务局
社会体育指导员信息, 民生服务, 社会体育指导员, 文化、卫生、体育, 上海市体育局
联合国贸易网点信息, 经济建设, 联合国贸易网点, 商业、贸易, 上海市商务委员会
上海商业百强企业信息, 经济建设, 商业百强企业, 商业、贸易, 上海市商务委员会
海塘类基础数据, 城市建设, 海塘名称、里程桩号、所属区县, 农业、水利, 上海市水务局
工商行政审批事项办理状态信息, 经济建设, 工商，行政审批事项，办理状态, 经济管理, 上海市工商行政管理局
市质监局行政审批事项办理状态信息, 经济建设, 行政审批、事项办理、, 综合政务, 上海市质量技术监督局
工商行政处罚信息, 经济建设, 工商，行政处罚, 经济管理, 上海市工商行政管理局
中小商贸流通企业服务机构信息, 经济建设, 中小商贸流通企业服务机构, 商业、贸易, 上海市商务委员会
执业经纪人信息, 经济建设, 工商，执业经纪人, 经济管理, 上海市工商行政管理局
特种设备检验检测信息, 公共安全, 特种设备检验检测信息, 工业、交通, 上海市质量技术监督局
固定形式印刷品广告登记证, 经济建设, 固定形式印刷品，广告，登记证, 经济管理, 上海市工商行政管理局
食品相关产品生产许可证注销信息, 卫生健康, 食品相关产品生产许可证注销信息, 商业、贸易, 上海市质量技术监督局
食品相关产品生产许可获证企业信息, 卫生健康, 食品相关产品生产许可获证企业信息, 综合政务, 上海市质量技术监督局
上海中心城区每月供水水质, 资源环境, 水质, 水利, 上海市水务局
上海中心城区每月供水水量, 资源环境, 供水水量, 水利, 上海市水务局
上海外商第三产业合同投资情况, 经济建设, 外商、第三产业、合同投资, 对外贸易, 上海市商务委员会
上海市外商实际投资情况, 经济建设, 外商、投资, 对外贸易, 上海市商务委员会
上海市外商合同投资情况, 经济建设, 外商、合同投资, 对外贸易, 上海市商务委员会
上海社会消费品零售情况, 经济建设, 社会消费品、零售, 国内贸易, 上海市商务委员会
上海市货物贸易出口情况, 经济建设, 贸易、出口, 对外贸易, 上海市商务委员会
上海市货物贸易进口情况, 经济建设, 贸易、进口, 对外贸易, 上海市商务委员会
建设用地批准文件调整、撤销审批, 资源环境, 土地资源、国土, 土地, 上海市规划和国土资源管理局
招标、拍卖、挂牌用地审批, 城市建设, 土地资源、国土, 土地, 上海市规划和国土资源管理局
土地储备审批, 城市建设, 土地资源、国土, 土地, 上海市规划和国土资源管理局
土地租赁用地审批, 城市建设, 土地资源、国土, 土地, 上海市规划和国土资源管理局
协议出让土地用地审批, 城市建设, 土地资源、国土, 土地, 上海市规划和国土资源管理局
单独选址项目信息（市批）, 城市建设, 土地资源、国土, 土地, 上海市规划和国土资源管理局
市规划和国土资源管理局公告类信息, 城市建设, 公告类信息, 综合类, 上海市规划和国土资源管理局
市规划和国土资源管理局新闻类信息, 城市建设, 新闻类信息, 综合类, 上海市规划和国土资源管理局
市规划和国土资源管理局规范性文件, 城市建设, 政策法规, 综合类, 上海市规划和国土资源管理局
地下水位观测井, 资源环境, 地下水位观测井, 国土资源与能源综合类, 上海市规划和国土资源管理局
赛事信息, 文化休闲, 赛事信息, 体育, 上海市体育局
上海市进口废塑料加工利用企业环保核查合格名单, 资源环境, 进口废塑料加工利用企业，环保核查, 环境保护、治理, 上海市环境保护局
上海市生猪养殖情况一览表, 经济建设, 上海、生猪、养殖, 畜牧业, 上海市农业委员会
环境状况公报, 资源环境, 环境状况，公报, 城乡建设与环境保护综合类, 上海市环境保护局
危险废物专业运输名录, 资源环境, 危险废物、运输, 环境保护、治理, 上海市环境保护局
危险废物经营许可证名单, 资源环境, 危险废物经营许可证, 环境保护、治理, 上海市环境保护局
上市公司环保核查, 资源环境, 上市公司，环保核查, 环境保护、治理, 上海市环境保护局
建设项目环境影响评价单位, 资源环境, 建设项目，环境影响评价单位, 环境保护、治理, 上海市环境保护局
地表水水质状况, 资源环境, 地表水，水质评价, 环境污染、监测, 上海市环境保护局
全市纳税信用等级统计, 信用服务, 纳税人识别码，纳税人名称，信用等级, 税务, 上海市地方税务局
信用服务机构备案信息, 信用服务, 备案编号、单位名称、联系人、联系方式、传真、经营范围、主营业务、地址、邮编, 信息产业综合类, 上海市经济和信息化委员会
上海市技术进出口交易会亮点企业情况, 经济建设, 技术进出口、亮点企业, 综合类, 上海市商务委员会
单用途商业预付卡备案企业信息, 经济建设, 单用途商业预付卡, 国内贸易, 上海市商务委员会
再生资源回收经营企业信息, 资源环境, 再生资源、经营企业, 国内贸易, 上海市商务委员会
电力供需平衡预测, 资源环境, 日期、星期、天气、气温、预计最高负荷、最高可用出力、电力供需平衡, 电力, 上海市经济和信息化委员会
新闻出版驻沪机构, 文化休闲, 驻沪机构, 新闻出版, 上海市新闻出版局
加油站, 民生服务, 名称、地址、电话、服务内容, 企业, 上海市经济和信息化委员会
法人网上身份统一认证网点, 机构团体, 网点地址、服务时间、联系电话, 信息产业综合类, 上海市经济和信息化委员会
工业园区, 经济建设, 园区名称、地址、类型、网址、联系电话, 工业, 上海市经济和信息化委员会
部分重化行业企业名单, 经济建设, 企业名称、地址、企业性质、主要产品, 工业, 上海市经济和信息化委员会
企业技术中心认定, 经济建设, 认定总数、领域分布数量、区域分布数量, 工业, 上海市经济和信息化委员会
成品油批发和仓储企业, 经济建设, 企业名称、地址、邮编、企业性质、成品油批发仓储经营许可证编号, 工业, 上海市经济和信息化委员会
建筑从业人员行政处罚信息, 信用服务, 人员行政处罚, 城乡建设, 上海市城乡建设和管理委员会
建筑从业单位行政处罚信息, 信用服务, 行政处罚信息, 城乡建设, 上海市城乡建设和管理委员会
工商行政处罚信息, 信用服务, 工商，行政处罚, 工商, 上海市工商行政管理局
企业监管信息, 信用服务, 监管, 检验、检疫, 上海市质量技术监督局
产品质量监督抽查信息, 信用服务, 产品质量、监督抽查, 检验、检疫, 上海市质量技术监督局
食品餐饮企业监督公示信息, 信用服务, 食品、食品餐饮、企业监督公示, 医药卫生管理, 上海市食品药品监督管理局
质监行政处罚信息, 信用服务, 行政处罚, 综合类, 上海市质量技术监督局
流通领域商品监测信息, 信用服务, 工商，流通领域商品，监测, 工商, 上海市工商行政管理局
卫生监督检查信息, 信用服务, 卫生监督检查, 医药卫生管理, 上海市卫生和计划生育委员会
上海市各区县统计局联系方式, 机构团体, 区县统计局联系方式, 综合政务类, 上海市统计局
国家统计局上海调查总队各区县调查队联系方式, 机构团体, 各区、县调查队联系方式, 综合政务类, 上海市统计局
重点中央在沪企业, 经济建设, 企业名称、地址、联系电话, 企业, 上海市经济和信息化委员会
上海市企事业专利工作试点示范单位名录, 教育科技, 上海市，企事业专利工作试点示范单位，名录, 知识产权, 上海市知识产权局
上海市&ldquo;销售真牌真品，保护知识产权&rdquo;承诺单位名单, 民生服务, 销售真牌真品，保护知识产权，承诺单位名单, 知识产权, 上海市知识产权局
上海市专利统计信息, 教育科技, 专利、统计、申请、授权, 综合类, 上海市知识产权局
专利工作者培训人数, 教育科技, 专利工作者，培训人数, 知识产权, 上海市知识产权局
专利工程师人数, 教育科技, 专利工程师，人数, 知识产权, 上海市知识产权局
上海市专利代理机构名录, 教育科技, 上海市，专利代理机构，名录, 知识产权, 上海市知识产权局
全市道路运输驾驶员从业资格培训企业名录, 道路交通, 全市道路运输驾驶员从业资格培训企业名称、联系方式, 交通运输, 上海市交通委员会
全市普通机动车驾驶员培训企业名录, 道路交通, 全市普通机动车驾驶员培训企业名称、联系方式, 交通运输, 上海市交通委员会
全市道路危险货物运输企业名录, 道路交通, 全市道路危险货物运输企业名称、联系方式, 交通运输, 上海市交通委员会
全市汽车快修企业名录, 道路交通, 全市汽车快修企业名录、企业许可号号、企业名称、企业地址, 交通运输, 上海市交通委员会
上海市工程咨询单位资格名录（央企）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
上海市工程咨询单位资格名录（丙级）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
上海市工程咨询单位资格名录（甲级）, 经济建设, 工程咨询单位, 综合类, 上海市发展和改革委员会
