   上海数据条目,开放主题 ,开放来源 ,北京数据条目 , 开放主题 , 开放来源
   工商行政处罚信息 ,  经济建设 ,  上海市工商行政管理局  ,   工商信息服务平台 ,  经济发展 ,  市工商行政管理局   
   环境状况公报 ,  资源环境 ,  上海市环境保护局  ,   2014年蔡甸区环境状况公报 ,  能源环境 ,  蔡甸区   
   环境状况公报 ,  资源环境 ,  上海市环境保护局  ,   2014年武汉市东西湖区环境状况公报 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   环境状况公报 ,  资源环境 ,  上海市环境保护局  ,   武汉市水环境状况 ,  能源环境 ,  市水务局   
   地表水水质状况 ,  资源环境 ,  上海市环境保护局  ,   2016年4月武汉市地表水环境质量状况 ,  能源环境 ,  市环境保护局   
   工商行政处罚信息 ,  信用服务 ,  上海市工商行政管理局  ,   工商信息服务平台 ,  经济发展 ,  市工商行政管理局   
   上海市专利代理机构名录 ,  教育科技 ,  上海市知识产权局  ,   专利代理机构 ,  教育科技 ,  市科学技术局   
   全社会用电量 ,  资源环境 ,  上海市经济和信息化委员会  ,   年度全社会用电量 ,  经济发展 ,  市统计局   
   技术合同认定登记信息 ,  教育科技 ,  上海市科学技术委员会  ,   技术合同认定登记站 ,  公共服务 ,  市科学技术局   
   人才中介服务机构信息 ,  社会发展 ,  上海市人力资源和社会保障局  ,   武汉市物业服务企业信息 ,  政府机构 ,  市住房保障和房屋管理局   
   上海市第三次经济普查主要数据公报（第一号） ,  经济建设 ,  上海市统计局  ,   东西湖区第三次全国经济普查主要数据公报 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   上海市第三次经济普查主要数据公报（第三号） ,  经济建设 ,  上海市统计局  ,   东西湖区第三次全国经济普查主要数据公报 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   上海市第三次经济普查主要数据公报（第二号） ,  经济建设 ,  上海市统计局  ,   东西湖区第三次全国经济普查主要数据公报 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   电动自行车产品目录 ,  经济建设 ,  上海市经济和信息化委员会  ,   武汉市电动自行车办牌点 ,  交通服务 ,  市交管局   
   电动自行车产品目录 ,  经济建设 ,  上海市经济和信息化委员会  ,   武汉市电动自行车登记点 ,  交通服务 ,  市公安局   
   律师信息 ,  社会发展 ,  上海市司法局  ,   武汉市社区律师在岗信息 ,  法律服务 ,  市司法局   
   《建设用地规划许可证》审批 ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设用地规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   《建设工程规划许可证》审批 ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设工程规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   《建设用地规划许可证》（市政类）审批 ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设用地规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   国家级产业化基地 ,  经济建设 ,  上海市科学技术委员会  ,   国家高新技术产业化基地 ,  教育科技 ,  市科学技术局   
   上海市2015年市本级一般公共预算支出预算数据 ,  经济建设 ,  上海市财政局  ,   2016年武汉市东西湖区一般公共预算支出预算表 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   上海市2015年市本级一般公共预算支出预算数据 ,  经济建设 ,  上海市财政局  ,   东湖风景区2016年市本级一般公共预算支出预算表 ,  政府机构 ,  东湖生态旅游风景区管委会   
   上海市2014年市本级一般公共预算支出决算数据 ,  经济建设 ,  上海市财政局  ,   2016年武汉市东西湖区一般公共预算支出预算表 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   上海市2014年市本级一般公共预算支出决算数据 ,  经济建设 ,  上海市财政局  ,   东湖风景区2016年市本级一般公共预算支出预算表 ,  政府机构 ,  东湖生态旅游风景区管委会   
   福利企业信息公示 ,  经济建设 ,  上海市民政局  ,   福利企业信息一览表 ,  公共服务 ,  市档案局   
   福利企业信息公示 ,  经济建设 ,  上海市民政局  ,   武汉市福利企业信息一览表 ,  公共服务 ,  市民政局   
   体育传统项目学校基本信息 ,  教育科技 ,  上海市体育局  ,   武汉市体育传统项目学校一览表 ,  公共服务 ,  市体育局   
   近三年工业生产者出厂价格指数（月度） ,  经济建设 ,  上海市统计局  ,   年度工业生产者出厂价格指数 ,  经济发展 ,  市统计局   
   近三年工业生产者购进价格指数（月度） ,  经济建设 ,  上海市统计局  ,   年度工业生产者购进价格指数 ,  经济发展 ,  市统计局   
   测绘资质单位名录 ,  城市建设 ,  上海市规划和国土资源管理局  ,   房产测绘资质 ,  公共服务 ,  市住房保障和房屋管理局   
   建设用地规划许可证 ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设用地规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   建设工程规划许可证（建筑类） ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设工程规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   建设工程规划许可证（市政类） ,  城市建设 ,  上海市规划和国土资源管理局  ,   东西湖区建设工程规划许可证 ,  经济发展 ,  武汉临空港经济技术开发区管委会(东西湖)   
   地质灾害防治单位名录 ,  城市建设 ,  上海市规划和国土资源管理局  ,   年度地质灾害防治 ,  公共服务 ,  市国土资源和规划局   
   直属事业单位名录 ,  机构团体 ,  上海市住房保障和房屋管理局  ,   直属事业单位 ,  政府机构 ,  市科协   
   房地产开发企业基本信息 ,  城市建设 ,  上海市住房保障和房屋管理局  ,   武汉市房地产开发企业资质信息 ,  政府机构 ,  市住房保障和房屋管理局   
   殡葬服务代理机构 ,  民生服务 ,  上海市民政局  ,   殡葬服务收费 ,  公共服务 ,  市发展和改革委员会   
   全市2011年机动车维修质量信誉考核3A企业名录 ,  道路交通 ,  上海市交通运输和港口管理局  ,   武汉市机动车维修企业质量信誉考核情况汇总表 ,  交通服务 ,  市交通运输委员会   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   2009年统计年鉴 ,  经济发展 ,  市统计局   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   2010年统计年鉴 ,  经济发展 ,  市统计局   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   2011年统计年鉴 ,  经济发展 ,  市统计局   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   2012年统计年鉴 ,  经济发展 ,  市统计局   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   统计年鉴 ,  经济发展 ,  市统计局   
   统计年鉴查询 ,  社会发展 ,  上海市统计局  ,   武汉市统计局统计年鉴-2015 ,  经济发展 ,  市统计局   
   水资源公报 ,  资源环境 ,  上海市水务局  ,   武汉市水资源公报 ,  能源环境 ,  市水务局   
   企业基本信息查询 ,  经济建设 ,  上海市地方税务局  ,   企业信息查询 ,  政府机构 ,  市城乡建设委员会   
   办税地图 ,  经济建设 ,  上海市地方税务局  ,   办税地图 ,  经济发展 ,  市国税局   
   企业工商信息 ,  经济建设 ,  上海市工商行政管理局  ,   工商信息服务平台 ,  经济发展 ,  市工商行政管理局   
