数据条目,主题, 提供单位
中职, 教育培训|教育机构|职业教育, 市教委
中学, 教育培训|教育机构|基础教育, 市教委
幼儿园, 教育培训|教育机构|学前教育, 市教委
小学, 教育培训|教育机构|基础教育, 市教委
特殊教育, 教育培训|教育机构|基础教育, 市教委
高校, 教育培训|教育机构|高等教育, 市教委
实验动物使用许可单位, 教育科研|科研单位, 市科委
宗教院校, 宗教信仰|宗教团体|宗教组织团体, 市民委
宗教团体, 宗教信仰|宗教团体|宗教组织团体, 市民委
清真寺, 宗教信仰|宗教活动|宗教活动场所, 市民委
北京市“十二五”期间全国少数民族特需商品定点生产企业汇总表, 消费购物|商业网点|专卖店, 市民委
天主教宗教场所, 宗教信仰|宗教活动|宗教活动场所, 市民委
民族重点工作街道、民族乡村, 旅游住宿|景点|特色街区和建筑|民族重点工作街道、民族乡村, 市民委
基督教宗教场所, 宗教信仰|宗教活动|宗教活动场所, 市民委
佛教宗教场所, 宗教信仰|宗教活动|宗教活动场所, 市民委
道教宗教场所, 宗教信仰|宗教活动|宗教活动场所, 市民委
宾馆旅店, 旅游住宿|住宿|旅游饭店, 市公安局
印章承刻企业, 企业服务|投资服务|文化、体育和娱乐业, 市公安局
演出场馆, 文体娱乐|文化场所|文化演出, 市公安局
路侧停车位, 生活服务|车辆驾驶|公共设施, 市公安局
考试场, 生活服务|车辆驾驶|车辆培训及管理, 市公安局
旧货业经营单位, 生活服务|日常生活|其他日常服务, 市公安局
进京检查站, 交通服务|执法监管, 市公安局
解体场, 生活服务|车辆驾驶|车辆培训及管理, 市公安局
交通执法机构, 交通服务|执法监管, 市公安局
交通支大队, 交通服务|执法监管, 市公安局
交通事故处理机构, 交通服务|执法监管, 市公安局
驾校, 生活服务|车辆驾驶|车辆培训及管理, 市公安局
机动车维修单位, 生活服务|车辆驾驶|车辆保养, 市公安局
机动车检测场, 生活服务|车辆驾驶|车辆保养|机动车检测场, 市公安局
典当场所, 企业服务|投资服务|租赁和商务服务业, 市公安局
出租车位, 生活服务|车辆驾驶|公共设施, 市公安局
出入境中介机构, 企业服务|中介服务|人才服务, 市公安局
车管站, 生活服务|车辆驾驶|车辆培训及管理, 市公安局
车管所, 交通服务|执法监管, 市公安局
见义勇为权益保护机构, 政府机构与社会团体|社会团体, 市民政局
养老服务机构, 社会保障|退休养老|养老服务, 市民政局
首都慈善公益组织联合会会员单位, 政府机构与社会团体|社会团体, 市民政局
市民政局及下属单位, 政府机构与社会团体|政府机构及相关单位, 市民政局
社区服务中心, 生活服务|日常生活|生活设施, 市民政局
社会组织审批机构, 政府机构与社会团体|政府机构及相关单位, 市民政局
区县民政局, 政府机构与社会团体|政府机构及相关单位, 市民政局
捐赠中心站点, 社会保障|社会救助|捐赠救助, 市民政局
婚姻收养登记机关, 生活服务|家庭生活|婚姻服务, 市民政局
公墓陵园, 生活服务|家庭生活|殡葬服务, 市民政局
殡仪服务机构, 生活服务|家庭生活|殡葬服务, 市民政局
司法所, 政府机构与社会团体|政府机构及相关单位, 市司法局
司法鉴定机构, 社会保障|司法服务|法律援助, 市司法局
市司法局直属机构, 政府机构与社会团体|政府机构及相关单位, 市司法局
区县司法局, 政府机构与社会团体|政府机构及相关单位, 市司法局
律师事务所, 企业服务|中介服务|法律服务, 市司法局
公证处, 社会保障|司法服务|公证服务, 市司法局
法律援助中心, 政府机构与社会团体|政府机构及相关单位, 市司法局
土地用途分区, 企业服务|投资环境|建设用地规划, 市国土局
地热探矿权, 企业服务|投资服务|采矿业, 市国土局
地热采矿权, 企业服务|投资服务|采矿业, 市国土局
环评单位评价列表, 环境与资源保护, 市环保局
销售射线装置的单位, 环境与资源保护, 市环保局
销售放射源单位, 环境与资源保护, 市环保局
使用射线装置的单位, 环境与资源保护, 市环保局
使用放射源单位, 环境与资源保护, 市环保局
生产射线装置单位, 环境与资源保护, 市环保局
生产放射源单位, 环境与资源保护, 市环保局
危险废物经营许可证单位, 环境与资源保护, 市环保局
北京市机动车排放检验单位名单, 环境与资源保护, 市环保局
环保直属单位, 政府机构与社会团体|政府机构及相关单位, 市环保局
环保管理机构, 政府机构与社会团体|政府机构及相关单位, 市环保局
供热数据（锅炉房）, 生活服务|日常生活|煤气水电, 市市政市容委
燃气设施, 生活服务|日常生活|煤气水电, 市市政市容委
燃气汽车加气站, 生活服务|车辆驾驶|公共设施, 市市政市容委
瓶装液化石油气供应站, 生活服务|日常生活|煤气水电, 市市政市容委
2015建设工程竣工备案信息, 房屋住宅|房屋建设|住房建设工程, 市住房城乡建设委
2015施工许可证信息, 房屋住宅|房屋建设|住房建设工程, 市住房城乡建设委
