数据条目, 资源分类,资源主题, 提供单位
1-11月全市工业经济运行情况, 数据, 政府机构, 市经济和信息化委员会
1-4月青山区社会消费品零售总额情况, 服务, 政府机构, 青山区
1-4月青山区食品安全抽检情况, 数据, 政府机构, 青山区
1-4月市级重大项目完成投资呈现较快增长态势, 数据, 政府机构, 市发展和改革委员会
1-6月份我市汽车及零部件产业发展情况, 数据, 政府机构, 市发展和改革委员会
1号线工作日首末班车时间, 数据, 交通服务, 市地铁集团
1号线双休日首末班车时间, 数据, 交通服务, 市地铁集团
2008-2014年科技保险费补贴情况表, 数据, 政府机构, 市科学技术局
2009年统计年鉴, 服务, 经济发展, 市统计局
2010-2011年度土地登记结果, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购办公用纸定点服务供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务印刷定点服务供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务用车保险服务定点供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务用车维修服务定点供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年统计年鉴, 服务, 经济发展, 市统计局
2011-2014年保障安居工程计划表, 数据, 经济发展, 汉南区
2011年分市州税收收入完成情况表, 数据, 经济发展, 市地税局
2011年社保费完成情况表, 数据, 经济发展, 市地税局
2011年税收合计表, 数据, 经济发展, 市地税局
2011年统计年鉴, 服务, 经济发展, 市统计局
2012年统计年鉴, 服务, 经济发展, 市统计局
2013年度东湖高新区统计报告, 数据, 教育科技, 东湖新技术开发区管委会
2013年武汉市安全评价机构星级评定结果, 数据, 公共服务, 市安全生产监督管理局
2013年武汉市专利统计分析报告, 数据, 公共服务, 市科学技术局
2014地质灾害危险性评估备案表, 数据, 能源环境, 江夏区
2014年1-11月各区体彩服务站社会渠道销量统计表, 数据, 公共服务, 市体育局
2014年10月10日周边省会城市价格行情表, 数据, 公共服务, 市发展和改革委员会
